iso,Trade,Output,Welfare
AGO,0.5054413243301497,-0.04149815005460766,-0.07495754312039082
ALB,-0.28364964399617065,-0.16461201530331948,-0.297188765515898
ARE,0.2705144315440151,-0.124063120043715,-0.22401888454820096
ARG,-0.18299213585675034,-0.05387574878295709,-0.09731017218605587
ARM,-23.08786987696911,-2.6325670781567965,-4.705385581287757
ATG,1.7029935574606867,0.064947221261491,0.11736364987275749
AUS,0.4042531518592227,-0.03506976623060609,-0.06334768361374188
AUT,-0.18963752561347746,-0.2112356834314255,-0.3812908626061926
AZE,-8.877931283147802,-1.4077639387782455,-2.528798180323008
BDI,-0.46876183577009556,-0.11416707082138089,-0.20615797219359422
BEL,0.14151045441573729,-0.4126468101113545,-0.7442421293537649
BEN,-0.7692456155206315,-0.11696998433407657,-0.21121696344052054
BFA,-2.2001875654636365,-0.306846304037407,-0.5536589419079689
BGD,-0.9436289466736412,-0.10591268041736157,-0.19125892057073202
BGR,-3.3029252553059507,-1.2018246721080317,-2.1606711469242157
BHR,0.5784898371648239,-0.03447949976956011,-0.06228161398833265
BHS,0.8473842778874285,0.005033710653151502,0.009094029573716966
BIH,-0.676331837923982,-0.29402002214945355,-0.5305432932052128
BLR,-42.45858383044543,-9.262105380637038,-16.103945408035415
BLZ,0.6890644249221936,0.007372180026038677,0.013318893368492013
BOL,-0.22486912374169776,-0.0935096432517355,-0.1688697562653374
BRA,-0.7090120120279124,-0.08171664072182239,-0.14757970786010333
BRB,0.09080697836964191,-0.0430561666662328,-0.0777712785222775
BRN,0.2593971399546149,-0.08909636186508862,-0.16090264396737552
BTN,0.20796906640096324,-0.05433332306124328,-0.09813645995360787
BWA,-0.09827625447350385,-0.14877464696014897,-0.2686133211354047
CAF,-0.1740550634341247,-0.05674874050224332,-0.10249817092005742
CAN,0.11564554785627479,-0.058368132056742184,-0.10542238715812857
CHE,0.1765126254540661,-0.11329369651164711,-0.20458159156243028
CHL,-0.06260712325146756,-0.06716694798399203,-0.12131018072595623
CHN,-1.8814834573246486,-0.16147839686649945,-0.29153505193697526
CIV,-0.33454166206686864,-0.09657532773636035,-0.1744039411588716
CMR,-0.29032543166565006,-0.09057371122848679,-0.16356967258897726
COG,0.1917243028054827,-0.3832665709527845,-0.6913345596613567
COL,0.1284367380834226,-0.04553698883468371,-0.08225150252089009
CRI,0.1426182095955255,-0.05538889913412959,-0.10004260790081787
CZE,-0.20502161170092847,-0.5171956930922192,-0.9324103546641993
DEU,-0.9108398396855222,-0.2930698853797793,-0.5288308521481895
DMA,0.17231100871083527,-0.07281851110481341,-0.1315144664875305
DNK,-0.294483997241727,-0.16452825772778112,-0.29703765091223033
DOM,-0.17754024033635574,-0.06973538218669262,-0.1259477229629482
DZA,0.9355916987677801,-0.011859452558454109,-0.021424128659091934
ECU,-2.47119724291737,-0.22753049965538708,-0.41067679181054473
EGY,-1.3561240848115403,-0.19434924945646515,-0.35083393108253347
ESP,-0.0610120038758879,-0.10397431023433512,-0.18776004730803209
EST,-2.8966756734291152,-1.1873267387766333,-2.134732003040824
ETH,-0.7325661369024203,-0.07143191531514503,-0.12901091555329458
FIN,-6.943114168464277,-0.9922128171714633,-1.785343056997064
FJI,0.07930308905197592,-0.05998128893509147,-0.10833530713273376
FRA,-0.5534489120303334,-0.13994061672880775,-0.25267244698198965
GAB,0.13226461913502874,-0.07774451985753217,-0.140408334270262
GBR,-0.6418947160357646,-0.13243687558042438,-0.2391311659409041
GEO,-7.6777679058277215,-1.0784296692999646,-1.9397994376283378
GHA,-0.1622551766960072,-0.09192547655571559,-0.1660099590477131
GIN,-0.6882682442334698,-0.28056233360072724,-0.5062871387034988
GMB,-0.09327679490647256,-0.07333456016674234,-0.13244620535481033
GNB,0.3536654011767979,-0.051922616326265825,-0.09378317070746789
GRC,-1.9017728369088047,-0.3203573621941871,-0.5780061068093829
GTM,0.010060879904429498,-0.056765742836091704,-0.10252887308224956
HKG,0.22136802865445304,-0.07404358967400526,-0.13372636868105303
HND,0.11926146967772411,-0.08355504130933866,-0.1508987277691034
HRV,-0.06343836192016283,-0.14932407918561807,-0.2696047257160359
HTI,-0.18546940285222036,-0.04914087139069068,-0.08875975003979875
HUN,-0.9566082349008838,-0.9426393721159343,-1.6964837270195972
IDN,-0.13510574620245563,-0.06489014243962288,-0.11719912024717871
IND,-0.714545095551685,-0.08856078488091157,-0.1599357699242887
IRL,0.22173527459872844,-0.11204371029401727,-0.20232543296734207
IRQ,0.24931388522455222,-0.10531468145089207,-0.19017950277375917
ISR,-0.5941827378544104,-0.09397308892991418,-0.16970637889440354
ITA,-1.60325477447212,-0.271973426844923,-0.490805102154539
JAM,-1.4985931555901288,-0.14081157929099675,-0.2542441363188317
JPN,-1.0011712455142145,-0.10629753677010001,-0.191953602620913
KAZ,-20.470302514295554,-2.2200912650857276,-3.974829491086936
KEN,-0.7993557172837029,-0.08614391301894386,-0.15557255308132767
KGZ,-11.68018078643415,-2.311174174661886,-4.136365169442442
KHM,0.225065017992506,-0.18086420367528433,-0.3265088708080839
KIR,0.590916666897698,0.003537563653168263,0.006391013824298852
KOR,-1.2736419010961981,-0.2817299516311209,-0.5083917594979113
KWT,0.36272915594634014,-0.10135106369972391,-0.1830248443671394
LAO,0.2198903441204294,-0.0702685781881911,-0.12691044492919445
LBN,-1.3311881766192073,-0.28268927716726466,-0.5101209201067576
LBR,1.0338987547030172,0.06289844056681204,0.11366043749490018
LKA,-1.1514713726291035,-0.13415874541367145,-0.2422385316264979
LSO,0.6404966827559377,0.006631481525005256,0.011980680228049323
LTU,-4.222224327428123,-1.9254458976028417,-3.451443931312312
LVA,-1.7786873566689678,-0.8235071197384229,-1.4827950412978623
MAR,-1.1195467761187672,-0.2770560747414521,-0.49996701979270597
MDA,-7.904060231870673,-1.3655075071529126,-2.4533131589912927
MDG,0.20827173468425997,-0.059453605618060124,-0.10738245960611437
MDV,0.09334596177517085,-0.06166529026027945,-0.11137611233692724
MEX,0.06260537241884379,-0.08060124116533984,-0.14556595879119527
MLI,-0.3642871430936907,-0.14641924926576166,-0.2643631527755872
MMR,0.3078666788530029,-0.04272525288081397,-0.07717366023231875
MNG,-10.534276088170316,-3.2379123397299026,-5.77302931819834
MOZ,0.43790430573108097,-0.07138643793031463,-0.12892880394717565
MRT,0.0277419307142992,-0.21787516169052878,-0.3932649069560199
MWI,-1.743343949484668,-0.18519689949604867,-0.3343247126051381
MYS,0.2628944124299011,-0.1894547323978486,-0.34200524100531027
NAM,0.5848371248874997,-0.03722617694739938,-0.06724229501850232
NER,0.16839961470468268,-0.044417142686214106,-0.08022913505625695
NGA,0.13748075986751473,-0.052623188682744626,-0.09504828317700742
NIC,-0.15733643536179898,-0.17739776279707087,-0.32025548761266975
NLD,-0.36362406224600363,-0.5882077194252275,-1.0601276562088913
NOR,-0.0313958390761826,-0.1283129690090874,-0.23168879832667244
NPL,-0.0396897952885098,-0.05720952954887082,-0.10333024461367302
NZL,-0.2394643559245111,-0.0857863761953439,-0.15492707899331037
OMN,0.4974359532766073,-0.04955503578381126,-0.08950767693313821
PAK,-0.42207083018638514,-0.06625670529676597,-0.11966663145153689
PAN,-0.171209392585709,-0.052397751261594294,-0.09464118297789526
PER,0.0076153397895240005,-0.06497299855013239,-0.11734872876253633
PHL,-0.09797549013492812,-0.09260570466288698,-0.1672379368554715
PLW,0.09785248077771769,-0.049527232619240635,-0.08945746812131006
PNG,0.6552302080626049,-0.007023547588431711,-0.012688302540496466
POL,-1.9416702112125392,-0.6511661239688493,-1.1732987496286995
PRT,-0.15001595891392583,-0.14759724028063204,-0.26648877426205786
PRY,-5.178943537506171,-0.43890625225388646,-0.7915191529082222
QAT,0.4030485682148566,-0.06452436881394874,-0.11653866264391866
ROU,-1.244310525122728,-0.3657504413653925,-0.6597857416803237
RUS,-99.9999975448985,-5.338862538093608,-9.436729982567556
RWA,-0.11149616196784962,-0.08293806433299267,-0.1497848525961274
SAU,0.45301444563752113,-0.04865339428145887,-0.08787942673735927
SDN,-1.1416151766350566,-0.1866574683114237,-0.3369594019682438
SEN,-1.1609127291499703,-0.2508483558078467,-0.4527212770309319
SGP,-0.04392353522152348,-0.2936206038210827,-0.5298234191379692
SLB,0.6635575749208726,-0.00519407140882322,-0.00938335433635018
SLE,0.8112425090601789,-0.02209460959281273,-0.03991231599613343
SLV,0.0260400348861225,-0.06964184957277553,-0.12577884298356423
SVK,-0.9701457155919968,-1.244798498541428,-2.2375402249344063
SVN,-0.527372464637466,-0.5552816463928849,-1.0009182531340173
SWE,-0.647654519115278,-0.22956053189938075,-0.4143374630706518
TCD,-0.37677303581156707,-0.0720985842655466,-0.13021461495543463
TGO,0.41531904671803943,-0.10862046125808433,-0.19614653407037963
THA,-0.11154795397270334,-0.16219281298965882,-0.29282402303853416
TJK,-9.035343046058102,-1.9883423504366675,-3.563275018726415
TLS,0.10908464656280614,-0.04377057521494976,-0.07906146899902922
TON,-0.14306122791168718,-0.06397510654512928,-0.11554688588439888
TUN,-0.5057540599759704,-0.326504197991369,-0.5890819323183507
TUR,-5.295352066964114,-0.6831148690607876,-1.2307062051820594
TUV,-0.046860199127578994,-0.10086653186407091,-0.18215020855664932
TZA,-0.20815664407997758,-0.05883370385724618,-0.10626308634603276
UGA,-0.04733182288629223,-0.06534396733466963,-0.11801856454295034
UKR,-7.2318740847226906,-1.3649900368787797,-2.452388611269626
URY,-0.312367540141949,-0.0684314327911153,-0.12359333540200623
USA,-0.5152807713819527,-0.05994101229045157,-0.10826257899351788
UZB,-9.126265499026658,-1.2698130960162075,-2.282272459081696
VEN,1.7459981635844741,-0.012557611903105226,-0.022685291262931173
VUT,0.9199847645026438,0.0064559316721641835,0.011663517102306287
YEM,-0.9655960834704871,-0.11791528852246813,-0.21292312141461878
ZAF,0.09992911889023048,-0.08982660293426648,-0.16222093722545594
ZMB,0.46137219793865825,-0.04239806738777929,-0.0765827735341702
ZWE,0.3221765444476432,-0.03660812388838508,-0.0661260598159572
